ID,nFollowers,o,c,e,a,n,Online Literacy,Political Leaning,nFakeShares,nTrueShares,freqUse,sessionLength,shareFreq
0,143,0.499806649924706,0.886752605805793,0.599579346486696,0.837371505999143,0.667811356702774,0.36210479761703,0.574565688724609,32,64,0.338430194172199,0.473170770678275,0.400405896828243
1,137,0.806865945598744,0.912312565571977,0.589756302938018,0.82818473326109,0.641314955838681,0.521017947638912,0.260995361616862,18,44,0.326799683664912,0.454362214872265,0.378219537374279
2,137,0.565179369344838,0.569704757219538,0.469015054108421,0.856742391921032,0.58119111585951,0.59598572319146,0.157140707166424,6,24,0.377208929400628,0.486625200094864,0.272587382652182
3,172,0.803349532347521,0.681615745303856,0.604520248121649,0.765795729859264,0.599012571886615,0.309170910166291,0.325308271116471,15,55,0.404455772943976,0.518311296971676,0.362115228584884
4,212,0.766908086787262,0.638082849846015,0.599829091947671,0.502861892189978,0.745766836546818,0.423291143352439,0.593717092282408,33,84,0.532201442797072,0.567172376312283,0.447332644370565
5,233,0.743434569963183,0.713999851249813,0.786532278799512,0.658701841508078,0.612723279680304,0.459725196040228,0.242515979857406,23,63,0.466642727183879,0.593164870124362,0.48192663744046
6,218,0.724248604252734,0.785978283108991,0.82427751865416,0.665760973829722,0.530906120939371,0.380136464182522,0.521022592679307,37,85,0.433775790317156,0.567401733539022,0.43761398000621
7,156,0.559692778761988,0.877261340101084,0.697490431075706,0.64816180500878,0.512348240573655,0.314067077087299,0.726960889781436,20,45,0.386779361752858,0.479193782819088,0.357357995178598
8,206,0.866912857123583,0.541406846370781,0.700111807406356,0.823219368109637,0.348449272967549,0.35123134577685,0.542536357497503,11,33,0.388410793006854,0.537378956617884,0.243953450286742
9,193,0.874516786592525,0.575961552766747,0.739983647729531,0.981728787558803,0.632366228208261,0.50791962948695,0.999129422245989,20,39,0.396143361217442,0.618469442521416,0.467940668250514
10,141,0.746521336743825,0.958529018236018,0.727673050239166,0.828588580611365,0.377563593307417,0.352228675346422,0.212010019332169,4,15,0.282524375201336,0.433584800375325,0.274742851601268
11,212,0.971660827016005,0.808027425766594,0.793831986624657,0.857778753237826,0.787850616154936,0.393839057656112,0.397217218922045,43,109,0.415354538213415,0.613952546164729,0.625421019785733
12,174,0.564140974367337,0.570506006531425,0.571427047108925,0.671246395614727,0.736793540983217,0.362846857100122,0.306283959080808,27,65,0.489337718670727,0.572245603701416,0.421023757452968
13,257,0.71278729439811,0.494817926494034,0.882080557035112,0.765833669989868,0.579063117639886,0.338080350709576,0.123323632723112,19,47,0.503117239764614,0.691846855405492,0.510780317366279
14,157,0.614980305889348,0.842210239376655,0.552259931067186,0.813528506332997,0.671757159136178,0.26936965897861,0.447470006925638,30,64,0.350582099368308,0.466360643398009,0.370984562398435
15,193,0.523693548578713,0.782862301271409,0.755699840219027,0.535048966849181,0.640963961876844,0.227504354224526,0.631025293544694,32,103,0.487912981879784,0.566379533540554,0.484376363576486
16,157,0.843144372368424,0.663880847174706,0.555133072728257,0.907959628239434,0.509986693649725,0.338198938889562,0.00995852779976536,3,20,0.335144663717883,0.478535442625538,0.283110480296296
17,247,0.688017332425564,0.493624543378719,0.87356227990158,0.803969622399723,0.562962659984244,0.481140449718252,0.512293301908561,39,88,0.486086473036727,0.684240356728849,0.491782944755294
18,191,0.412180503819832,0.598936165879214,0.677948039606321,0.567704687705758,0.565481925760164,0.506117730424077,0.497237974838068,21,76,0.497684215511867,0.566750393650492,0.38336736300191
19,130,0.741319052404675,0.770038395140118,0.424194079498745,0.819944174935655,0.358535076102271,0.372390914386489,0.261459437641133,2,12,0.277389249742244,0.349621012058515,0.152088456575215
20,190,0.854653832002599,0.736598002045532,0.582737603348157,0.651684594800984,0.671469993239646,0.421570150633901,0.198164925104513,16,46,0.437681394121426,0.511124339870042,0.391290814580675
21,226,0.82580093537303,0.581468272098231,0.796296001501497,0.784077355540446,0.514509793806999,0.458632261592486,0.0125837821328407,16,32,0.443486704110745,0.611310162884486,0.409702091541874
22,171,0.644425042602478,0.598791484588748,0.601635911444106,0.764272164248839,0.685481697625859,0.467239033096801,0.153330314207375,15,33,0.445975577419511,0.563987812740752,0.412410405929387
23,158,0.539555117687217,0.726544183213938,0.67235320343205,0.739766846924186,0.833705111109848,0.431895644963015,0.389481432598962,36,108,0.463495552514826,0.595993361231186,0.56054430217238
24,138,0.560870669003261,0.629713874092588,0.514652525601036,0.784134729019198,0.309258920939012,0.432609449467236,0.550818258722388,5,23,0.333904248573675,0.418627102260919,0.159160884725914
25,196,0.771542738019344,0.581121124556963,0.621682861872246,0.742047937238284,0.37703414922992,0.384927705939551,0.438151608461,10,35,0.395315161656254,0.498165347800766,0.234395668916824
26,145,0.810503397207911,0.910422811288877,0.626935861793619,0.707171156213712,0.960714176729113,0.386276826583238,0.592856547802305,42,113,0.442077291262204,0.554253595863563,0.602306170325014
27,205,0.877400438574934,0.703656193705675,0.613883116732683,0.587613389651219,0.602172555742844,0.280491219946412,0.203896277960787,19,52,0.458328007874066,0.516761323753582,0.369663565330302
28,209,0.681770457350023,0.716845136655791,0.677393120902388,0.503748152968675,0.517762708566449,0.204212703757667,0.225529451340758,15,48,0.475314949209423,0.519196122872128,0.3507288970427
29,221,0.675849067133566,0.634852405003113,0.844671871970439,0.803647305513238,0.645521402392186,0.492601141646988,0.20585881525538,22,64,0.459529621404644,0.650959001495025,0.545253771355591
30,173,0.913035112939152,0.908541120009883,0.724696293342563,0.84909993134566,0.739767051653114,0.368195671446815,0.489731372886127,29,88,0.36720393115104,0.540977626726055,0.536106440269968
31,181,0.759358391015712,0.600572572657124,0.635954446525111,0.816892681864038,0.490917850489796,0.409851111164577,0.558584202268332,17,45,0.392911548279776,0.528270286313812,0.312201389897535
32,165,0.798967441803791,0.859464827313812,0.777586589823459,0.931319079422519,0.804228758030288,0.328322342199401,0.374292495322847,34,107,0.377879602012062,0.595737843169742,0.625357497394727
33,215,0.916074222221101,0.472553661573306,0.443940861857805,0.526082781942702,0.537660630644844,0.447099544597163,0.0388726037359561,8,17,0.496935920649311,0.4929809431193,0.238689523755483
34,144,0.796622719812898,0.631925046706146,0.527895884058757,0.97519753720526,0.298789932247394,0.334895478145197,0.557961422955077,6,16,0.271754008279193,0.421143694843988,0.157729975431594
35,180,0.828167537255946,0.773398827727693,0.477586648179477,0.417911616698381,0.564317921654551,0.607299632609064,0.0132203502078481,8,16,0.460525658946969,0.425706466959779,0.269510704710606
36,190,0.845718236218195,0.791735304168264,0.849371716495468,0.972260802161203,0.759166512260657,0.53157146655674,0.793847293630109,33,74,0.386955068448935,0.636027546312004,0.644814563624712
37,240,0.8780718966387,0.661024980209869,0.743061512632312,0.603134093191458,0.604458495859088,0.292727797381401,0.615319705157732,42,83,0.489459869120257,0.587398065960089,0.449149844256506
38,162,0.700223691850884,0.531733071046984,0.595776428120284,0.821294339318495,0.572877297121681,0.381129074504225,0.547544361628234,21,59,0.420788044501736,0.552059024034048,0.341306789830358
39,130,0.647234687223708,0.673833784220009,0.426369281981447,0.678687940246852,0.441564007873272,0.379545382185026,0.0326332981542419,3,6,0.367951886659371,0.400618857967785,0.188269328985777
40,186,0.742212238949074,0.796055686525267,0.748211665732413,0.788139414897256,0.394992103780091,0.246474760509828,0.446282531530283,17,38,0.348130759560201,0.495371823075832,0.295537699920452
41,177,0.740246919370335,0.700520812270556,0.652975752293806,0.810918826884022,0.454895075414427,0.475993252088358,0.348400883419865,11,41,0.36254723227528,0.4968817798986,0.297035454083483
42,138,0.746633440730663,0.832351892720379,0.547308264451002,0.707408476052316,0.505874812977844,0.338831003403107,0.710893066868169,10,37,0.350954376754406,0.424074360092367,0.276869465920379
43,143,0.845500148760134,0.721910723312738,0.557026149775563,0.921003540851831,0.560657760151466,0.287790868050697,0.822642929413465,8,25,0.326123924029378,0.475319715995004,0.312301033478962
44,142,0.765283179342926,0.475188452935398,0.436965284924616,0.955207426589706,0.462399191075352,0.307049616907434,0.42761121240133,14,25,0.340068061275836,0.469587782708877,0.202052394277153
45,223,0.529399896792173,0.344464606922595,0.758361622483779,0.856503399457722,0.514535401207773,0.262376923567494,0.302203782447183,21,60,0.478721550361466,0.664680386032555,0.390203901685268
46,194,0.668493046727195,0.779689155875744,0.867086603836216,0.851020332083147,0.683124534093978,0.551039119802274,0.425138427311804,33,106,0.416353091443705,0.627755471766166,0.592328132264745
47,175,0.620510379795399,0.759274655244272,0.640433321120212,0.590311324424509,0.676956149101454,0.286561254412773,0.447676743923692,32,85,0.463063143593097,0.531470209451798,0.433545274821793
48,170,0.590768800988126,0.885269804278737,0.862694620802736,0.820428611512019,0.464615352719043,0.398760944185489,0.238201252050635,19,39,0.349124508752766,0.537869795719861,0.400821165533085
49,180,0.746006323181856,0.596543874462832,0.6189432639987,0.77335779896729,0.633558066245355,0.48240289797917,0.71779866774494,25,70,0.435674285796543,0.558884245777749,0.392136497454605
50,143,0.824312306023299,0.756225382744806,0.681632285171822,0.998814538684111,0.461440607502115,0.232360117214912,0.441550384155759,11,36,0.293116826543364,0.494809948615489,0.31453281576274
51,205,0.83304185611192,0.535082213715299,0.57968833871037,0.655904801249144,0.542202042847782,0.335515955401631,0.609767579348548,27,41,0.463717046019784,0.535963579805056,0.3143082014638
52,202,0.864109928820847,0.484780363698581,0.544642222760027,0.767760177771659,0.484075986763288,0.536098248155517,0.533580764495952,8,52,0.422519387815801,0.520222061884248,0.263648221415511
53,162,0.872649674246112,0.628616830459663,0.476253538803666,0.810096334795817,0.586535308926869,0.493641736025657,0.944592271034477,6,16,0.37845247402514,0.473772406831658,0.279339516509723
54,196,0.636518347130916,0.683325081363356,0.737893710422126,0.705355826511056,0.944693254716048,0.394375273740118,0.283314218839976,53,116,0.522586250304886,0.666702839154481,0.697083210933179
55,203,0.929007449142434,0.602897387221787,0.609174127488047,0.755118336746244,0.71690417057608,0.380528766357989,0.982302824963376,16,32,0.455955536557821,0.574268134300549,0.436719472603226
56,179,0.72639838489474,0.424962385579881,0.498146074167097,0.763554565604184,0.597156088530001,0.512514707039623,0.078328679238346,10,24,0.45621491248153,0.54659801574356,0.297470961166199
57,148,0.524432640452048,0.781434117837349,0.679406280841246,0.790256527999085,0.662209956766847,0.366133061850249,0.338043575725342,23,81,0.396347900858119,0.538402671287559,0.449909603863006
58,258,0.971969185698313,0.609973803531242,0.86022170263716,0.832507109775835,0.797023279062554,0.432463110547599,0.118651466644361,21,79,0.492597054917951,0.704519739141995,0.685616722156642
59,146,0.492352022956669,0.62309548852778,0.620992087146808,0.821467845093769,0.534091503988925,0.436394254087154,0.875453642175642,13,30,0.391732962479038,0.526140061683775,0.33166659778946
60,177,0.772436023231983,0.805309764213346,0.731586754860839,0.888721006380567,0.326441912714492,0.355751467387726,0.316052462814838,9,20,0.295238629946167,0.467468753097213,0.23882057957336
61,147,0.632155905959359,0.778182576204978,0.610810430475389,0.799458980624753,0.462059477573723,0.561742484861691,0.32405150821125,8,39,0.338502044414267,0.456988181447441,0.282230748402039
62,165,0.660562840977358,0.874153381714126,0.736519483127373,0.702293173035063,0.672235500498768,0.435181978653557,0.647741793108084,29,88,0.41179405076801,0.538913157307661,0.495114543367224
63,243,0.873745301876509,0.88549228340416,0.857545430413543,0.564959426700589,0.676684603006954,0.411480288195026,0.756520161756849,34,84,0.476324931462656,0.590496263658441,0.580287789139816
64,212,0.840401036874499,0.631510356161541,0.562700804704247,0.497731210774602,0.836627974325206,0.354480242894487,0.853013451206663,28,70,0.548394760920453,0.576174912127225,0.470771234390877
