ID,nFollowers,o,c,e,a,n,Online Literacy,Political Leaning,nFakeShares,nTrueShares,freqUse,sessionLength,shareFreq
0,204,0.902469049054071,0.733143913721917,0.663794266586849,0.652157215804129,0.321386790095107,0.549553284695968,0.4290039715395,0,1,-0.821953011053962,-0.135181947409904,0.213334708621883
1,136,0.588967106838822,0.834996301826542,0.617147932694658,0.742968296762012,0.727604286953516,0.488102677699558,0.0544554117632066,0,0,-0.800615883926075,-0.0807764893926602,0.449039481513133
2,195,0.552286821047353,0.506590977557001,0.555808625773657,0.525952705279868,0.714157804471355,0.590667869724956,0.780215370642319,0,0,-0.653780486692621,-0.0142192474026902,0.396935067888756
3,145,0.803186334652493,0.568810433010641,0.456596629845668,0.830167662701181,0.623761233594104,0.603108421851677,0.173799194284268,0,1,-0.807081413576167,-0.100185010028829,0.284807277087445
4,146,0.921289541685458,0.880010372993497,0.54858008010186,0.809606250962942,0.719359545699593,0.587078124852084,0.0418502840691786,0,0,-0.849044975124433,-0.126726118623278,0.39462631720192
5,163,0.747062245703901,0.906012757986052,0.705087967740994,0.716886056504635,0.658876361240642,0.468595605258476,0.368545323254909,0,0,-0.810423264001313,-0.0805522934189627,0.464565794539745
6,154,0.570193548450412,0.858503756004869,0.783653042279273,0.82326837851497,0.490899583667485,0.557513174533233,0.926081207082159,0,0,-0.853311890433937,-0.0751072761116769,0.384694952194653
7,207,0.851645625547041,0.743429220312301,0.713442806473146,0.804076566132513,0.69381625536963,0.67042369324071,0.52091591147179,0,1,-0.784501424639256,-0.0196076406382685,0.494998216407598
8,131,0.564752046591863,0.691991672502201,0.528803773880834,0.685708315411426,0.630778421227253,0.642619206670624,0.530876209082776,0,0,-0.779679716075816,-0.102771820179883,0.333558009627566
9,177,0.765683257378391,0.722992077416835,0.609524433630281,0.646695707801069,0.768842214463801,0.553726100699012,0.369174287807652,0,0,-0.731021277711829,-0.0402869597972114,0.468628115322099
10,133,0.606559121350895,0.890827815022987,0.536575004021988,0.606842837471302,0.358464041189256,0.607718951235221,0.0418543416175826,0,0,-0.866480055883041,-0.228832377170195,0.192342844342863
11,172,0.657533811555681,0.807043673860952,0.735766499867871,0.80686024991069,0.494863015048765,0.537254303759673,0.919304997790742,0,0,-0.84174724874653,-0.0801151958196968,0.364103628496491
12,153,0.383514388707181,0.761339771332789,0.741038946697738,0.750237822279628,0.536413347748936,0.44631634653292,0.00160744941848079,0,0,-0.800874706507761,-0.0534576805943297,0.397503182210479
